code	display_name	date	weight	sw1_code	sw1_name
002433.XSHE	太安堂	2020-08-14	0.058	801150	医药生物I
002435.XSHE	长江健康	2020-08-14	0.04	801150	医药生物I
002436.XSHE	兴森科技	2020-08-14	0.289	801080	电子I
002443.XSHE	金洲管道	2020-08-14	0.055	801040	钢铁I
002446.XSHE	盛路通信	2020-08-14	0.098	801770	通信I
002449.XSHE	国星光电	2020-08-14	0.139	801080	电子I
002451.XSHE	摩恩电气	2020-08-14	0.031	801730	电气设备I
002459.XSHE	晶澳科技	2020-08-14	0.118	801890	机械设备I
002461.XSHE	珠江啤酒	2020-08-14	0.077	801120	食品饮料I
002462.XSHE	嘉事堂	2020-08-14	0.07	801150	医药生物I
002464.XSHE	众应互联	2020-08-14	0.042	801760	传媒I
002467.XSHE	二六三	2020-08-14	0.197	801770	通信I
002474.XSHE	榕基软件	2020-08-14	0.068	801750	计算机I
002478.XSHE	常宝股份	2020-08-14	0.047	801040	钢铁I
002479.XSHE	富春环保	2020-08-14	0.077	801160	公用事业I
002481.XSHE	双塔食品	2020-08-14	0.222	801120	食品饮料I
002482.XSHE	广田集团	2020-08-14	0.055	801720	建筑装饰I
002484.XSHE	江海股份	2020-08-14	0.093	801080	电子I
002485.XSHE	希努尔	2020-08-14	0.017	801130	纺织服装I
002488.XSHE	金固股份	2020-08-14	0.077	801880	汽车I
002489.XSHE	浙江永强	2020-08-14	0.1	801140	轻工制造I
002497.XSHE	雅化集团	2020-08-14	0.171	801030	化工I
002498.XSHE	汉缆股份	2020-08-14	0.129	801730	电气设备I
002510.XSHE	天汽模	2020-08-14	0.065	801880	汽车I
002512.XSHE	达华智能	2020-08-14	0.08	801750	计算机I
002515.XSHE	金字火腿	2020-08-14	0.103	801120	食品饮料I
002516.XSHE	旷达科技	2020-08-14	0.051	801880	汽车I
002518.XSHE	科士达	2020-08-14	0.068	801730	电气设备I
002519.XSHE	银河电子	2020-08-14	0.058	801110	家用电器I
002522.XSHE	浙江众成	2020-08-14	0.066	801140	轻工制造I
002530.XSHE	金财互联	2020-08-14	0.091	801750	计算机I
002531.XSHE	天顺风能	2020-08-14	0.127	801730	电气设备I
002537.XSHE	海联金汇	2020-08-14	0.086	801750	计算机I
002538.XSHE	司尔特	2020-08-14	0.046	801030	化工I
002539.XSHE	云图控股	2020-08-14	0.087	801030	化工I
002542.XSHE	中化岩土	2020-08-14	0.048	801720	建筑装饰I
002545.XSHE	东方铁塔	2020-08-14	0.104	801030	化工I
002547.XSHE	春兴精工	2020-08-14	0.091	801080	电子I
002550.XSHE	千红制药	2020-08-14	0.082	801150	医药生物I
002556.XSHE	辉隆股份	2020-08-14	0.063	801030	化工I
002562.XSHE	兄弟科技	2020-08-14	0.062	801030	化工I
002564.XSHE	天沃科技	2020-08-14	0.045	801890	机械设备I
002565.XSHE	顺灏股份	2020-08-14	0.075	801140	轻工制造I
002567.XSHE	唐人神	2020-08-14	0.114	801010	农林牧渔I
002568.XSHE	百润股份	2020-08-14	0.267	801120	食品饮料I
002573.XSHE	清新环境	2020-08-14	0.072	801160	公用事业I
002581.XSHE	未名医药	2020-08-14	0.148	801150	医药生物I
002582.XSHE	好想你	2020-08-14	0.087	801120	食品饮料I
002585.XSHE	双星新材	2020-08-14	0.107	801140	轻工制造I
002590.XSHE	万安科技	2020-08-14	0.032	801880	汽车I
002596.XSHE	海南瑞泽	2020-08-14	0.087	801710	建筑材料I
